# {
#     "poni_version": 2.1,
#     "dist": 0.15768496156055517,
#     "poni1": 0.01846849792105989,
#     "poni2": 0.014689110424981307,
#     "rot1": -0.5666082591692108,
#     "rot2": -0.0014812675151785156,
#     "rot3": 0.0,
#     "detector": "Pilatus100k",
#     "detector_config": {
#         "orientation": 3
#     },
#     "wavelength": 1.0332016536100021e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 123.54586177870002
# --> /Users/vsomani/Documents/SWAXS_data_reduction_correction_Analysis/demo/1D/WAXS/Reduction/Hor_scan_Run5_RampT20_ctr0_scan1_0000_WAXS.dat
#       q_nm^-1              I           sigma 
  1.283448e+01    2.148588e+00   8.734267e-03
  1.286501e+01    2.159509e+00   8.544615e-03
  1.289553e+01    2.176109e+00   8.811700e-03
  1.292605e+01    2.180249e+00   8.597417e-03
  1.295658e+01    2.187649e+00   8.817337e-03
  1.298710e+01    2.206219e+00   8.663763e-03
  1.301763e+01    2.225489e+00   8.925747e-03
  1.304815e+01    2.240548e+00   8.773807e-03
  1.307867e+01    2.260297e+00   8.979548e-03
  1.310920e+01    2.275215e+00   8.885809e-03
  1.313972e+01    2.296026e+00   8.993279e-03
  1.317024e+01    2.310534e+00   8.982872e-03
  1.320077e+01    2.328141e+00   9.006144e-03
  1.323129e+01    2.349646e+00   9.082096e-03
  1.326182e+01    2.356269e+00   9.021954e-03
  1.329234e+01    2.379752e+00   9.152261e-03
  1.332286e+01    2.401881e+00   9.058868e-03
  1.335339e+01    2.418337e+00   9.237917e-03
  1.338391e+01    2.439178e+00   9.096745e-03
  1.341444e+01    2.463931e+00   9.335565e-03
  1.344496e+01    2.497164e+00   9.195872e-03
  1.347548e+01    2.518496e+00   9.441888e-03
  1.350601e+01    2.528731e+00   9.231223e-03
  1.353653e+01    2.554975e+00   9.526373e-03
  1.356706e+01    2.586896e+00   9.344606e-03
  1.359758e+01    2.617424e+00   9.661204e-03
  1.362810e+01    2.650149e+00   9.478747e-03
  1.365863e+01    2.682622e+00   9.776680e-03
  1.368915e+01    2.711454e+00   9.622157e-03
  1.371968e+01    2.731477e+00   9.863995e-03
  1.375020e+01    2.751452e+00   9.753133e-03
  1.378072e+01    2.772209e+00   9.918089e-03
  1.381125e+01    2.788395e+00   9.849026e-03
  1.384177e+01    2.793713e+00   9.887120e-03
  1.387230e+01    2.793441e+00   9.861737e-03
  1.390282e+01    2.792037e+00   9.827646e-03
  1.393334e+01    2.777289e+00   9.870939e-03
  1.396387e+01    2.777582e+00   9.787492e-03
  1.399439e+01    2.776477e+00   9.884160e-03
  1.402492e+01    2.777462e+00   9.735142e-03
  1.405544e+01    2.783151e+00   9.884122e-03
  1.408596e+01    2.776368e+00   9.680642e-03
  1.411649e+01    2.783960e+00   9.902424e-03
  1.414701e+01    2.806376e+00   9.745412e-03
  1.417754e+01    2.817568e+00   9.998619e-03
  1.420806e+01    2.817180e+00   9.746351e-03
  1.423858e+01    2.810412e+00   9.962142e-03
  1.426911e+01    2.816934e+00   9.711137e-03
  1.429963e+01    2.834892e+00   1.002763e-02
  1.433015e+01    2.840728e+00   9.765838e-03
  1.436068e+01    2.857491e+00   1.009903e-02
  1.439120e+01    2.885046e+00   9.879465e-03
  1.442173e+01    2.899893e+00   1.016654e-02
  1.445225e+01    2.908119e+00   9.927674e-03
  1.448277e+01    2.927268e+00   1.019927e-02
  1.451330e+01    2.947297e+00   1.004405e-02
  1.454382e+01    2.960345e+00   1.024798e-02
  1.457435e+01    2.988699e+00   1.015307e-02
  1.460487e+01    3.024273e+00   1.033849e-02
  1.463539e+01    3.054200e+00   1.028780e-02
  1.466592e+01    3.085518e+00   1.038347e-02
  1.469644e+01    3.126865e+00   1.043032e-02
  1.472697e+01    3.159240e+00   1.046457e-02
  1.475749e+01    3.210640e+00   1.057517e-02
  1.478801e+01    3.283331e+00   1.064174e-02
  1.481854e+01    3.390858e+00   1.087778e-02
  1.484906e+01    3.498359e+00   1.095591e-02
  1.487959e+01    3.621432e+00   1.124503e-02
  1.491011e+01    3.780744e+00   1.132289e-02
  1.494063e+01    3.996967e+00   1.183429e-02
  1.497116e+01    4.234442e+00   1.193998e-02
  1.500168e+01    4.565089e+00   1.265759e-02
  1.503221e+01    4.974696e+00   1.292204e-02
  1.506273e+01    5.501105e+00   1.389667e-02
  1.509325e+01    6.094132e+00   1.429045e-02
  1.512378e+01    6.791753e+00   1.546353e-02
  1.515430e+01    7.456080e+00   1.579920e-02
  1.518483e+01    8.054579e+00   1.689364e-02
  1.521535e+01    8.383692e+00   1.675591e-02
  1.524587e+01    8.389918e+00   1.725130e-02
  1.527640e+01    8.031030e+00   1.638819e-02
  1.530692e+01    7.407799e+00   1.619260e-02
  1.533745e+01    6.637112e+00   1.489538e-02
  1.536797e+01    5.869043e+00   1.442947e-02
  1.539849e+01    5.146330e+00   1.312470e-02
  1.542902e+01    4.568572e+00   1.271971e-02
  1.545954e+01    4.146988e+00   1.179973e-02
  1.549007e+01    3.849749e+00   1.167040e-02
  1.552059e+01    3.594288e+00   1.101773e-02
  1.555111e+01    3.419231e+00   1.099762e-02
  1.558164e+01    3.277853e+00   1.057371e-02
  1.561216e+01    3.190352e+00   1.062679e-02
  1.564268e+01    3.113879e+00   1.034082e-02
  1.567321e+01    3.062394e+00   1.040693e-02
  1.570373e+01    3.019633e+00   1.018474e-02
  1.573426e+01    2.975030e+00   1.022055e-02
  1.576478e+01    2.935562e+00   1.004249e-02
  1.579530e+01    2.915944e+00   1.008451e-02
  1.582583e+01    2.911387e+00   1.002047e-02
  1.585635e+01    2.895250e+00   1.004114e-02
  1.588688e+01    2.866606e+00   9.951716e-03
  1.591740e+01    2.857210e+00   9.963390e-03
  1.594792e+01    2.848894e+00   9.931813e-03
  1.597845e+01    2.836243e+00   9.890897e-03
  1.600897e+01    2.828192e+00   9.903404e-03
  1.603950e+01    2.834796e+00   9.846544e-03
  1.607002e+01    2.846322e+00   9.945949e-03
  1.610054e+01    2.852022e+00   9.835446e-03
  1.613107e+01    2.847989e+00   9.964371e-03
  1.616159e+01    2.852762e+00   9.827915e-03
  1.619212e+01    2.861342e+00   9.987692e-03
  1.622264e+01    2.880049e+00   9.873844e-03
  1.625316e+01    2.873343e+00   1.001292e-02
  1.628369e+01    2.869884e+00   9.835816e-03
  1.631421e+01    2.883945e+00   1.003671e-02
  1.634474e+01    2.888509e+00   9.840053e-03
  1.637526e+01    2.885518e+00   1.003284e-02
  1.640578e+01    2.890311e+00   9.826349e-03
  1.643631e+01    2.896562e+00   1.004928e-02
  1.646683e+01    2.916535e+00   9.866790e-03
  1.649736e+01    2.935510e+00   1.012380e-02
  1.652788e+01    2.947577e+00   9.913541e-03
  1.655840e+01    2.989341e+00   1.021510e-02
  1.658893e+01    3.035733e+00   1.006576e-02
  1.661945e+01    3.085466e+00   1.038935e-02
  1.664998e+01    3.142063e+00   1.021401e-02
  1.668050e+01    3.217250e+00   1.061459e-02
  1.671102e+01    3.327159e+00   1.049238e-02
  1.674155e+01    3.450423e+00   1.099657e-02
  1.677207e+01    3.563260e+00   1.085509e-02
  1.680259e+01    3.669417e+00   1.132659e-02
  1.683312e+01    3.762422e+00   1.116133e-02
  1.686364e+01    3.831798e+00   1.158697e-02
  1.689417e+01    3.838423e+00   1.128329e-02
  1.692469e+01    3.788604e+00   1.153635e-02
  1.695521e+01    3.712874e+00   1.109110e-02
  1.698574e+01    3.609312e+00   1.127832e-02
  1.701626e+01    3.462713e+00   1.069980e-02
